LOOP;É uma cópia de uma determinada informação sonora que se repete de forma contínua.
CONDICIONAL;É um conceito usado em programação de computadores e segurança cibernéticaem que as instruções são avaliadas como verdadeiras ou falsas. Se o resultado de uma avaliação for verdadeiro, a instrução condicional executará um definir de instruções, caso contrário, outro conjunto de instruções será executado.
STRING;É uma sequência de caracteres usados para representar texto.
